quarter,time,team,player_name,event_text,home_score,away_score
Q1,02:36,away,Стефан Милев,"<div class=""div_info"">
<a class=""player_name"" href=""player-13416-stefan-milev"">Стефан Милев</a>асистенция</div>",,
Q1,02:36,away,Димитър Рачев,"<div class=""div_info"">
<a class=""player_name"" href=""player-13187-dimityr-rachev"">Димитър Рачев</a>опит за стрелба за 2т., поднасяне<br/>успешен (19 точки)</div>",12,10
Q1,02:39,away,Йосиф Омар,"<div class=""div_info"">
<a class=""player_name"" href=""player-10398-iosif-omar"">Йосиф Омар</a>борба в защита</div>",,
Q1,02:42,away,Стефан Милев,"<div class=""div_info"">
<a class=""player_name"" href=""player-13416-stefan-milev"">Стефан Милев</a>блок</div>",,
Q1,02:42,home,Андреан Деков,"<div class=""div_info"">
<a class=""player_name"" href=""player-18487-andrean-dekov"">Андреан Деков</a>опит за стрелба от 2т.<br/>неуспешен</div>",,
Q1,02:47,home,Константин Търновски,"<div class=""div_info"">
<a class=""player_name"" href=""player-13091-konstantin-tyrnovski"">Константин Търновски</a>отнета топка</div>",,
Q1,02:47,away,Дзежен Дай,"<div class=""div_info"">
<a class=""player_name"" href=""player-17432-dzejen-dai"">Дзежен Дай</a>грешка при дрибъл</div>",,
Q1,02:49,away,Дзежен Дай,"<div class=""div_info"">
<a class=""player_name"" href=""player-17432-dzejen-dai"">Дзежен Дай</a>борба в защита</div>",,
Q1,02:51,home,Антонио Станков,"<div class=""div_info"">
<a class=""player_name"" href=""player-1445-antonio-stankov"">Антонио Станков</a>3 стрелба с отскок</div>",,
Q1,03:17,away,Дзежен Дай,"<div class=""div_info"">
<a class=""player_name"" href=""player-17432-dzejen-dai"">Дзежен Дай</a>асистенция</div>",,
Q1,03:17,away,Йосиф Омар,"<div class=""div_info"">
<a class=""player_name"" href=""player-10398-iosif-omar"">Йосиф Омар</a>опит за стрелба за 2т., поднасяне<br/>успешен (18 точки)</div>",12,8
Q1,03:27,home,Цветослав Митев,"<div class=""div_info"">
<a class=""player_name"" href=""player-3990-cvetoslav-mitev"">Цветослав Митев</a>смяна влиза</div>",,
Q1,03:27,home,Теодор Върбанов,"<div class=""div_info"">
<a class=""player_name"" href=""player-21943-teodor-vyrbanov"">Теодор Върбанов</a>смяна излиза</div>",,
Q1,03:38,away,Димитър Балъков,"<div class=""div_info"">
<a class=""player_name"" href=""player-17394-dimityr-balykov"">Димитър Балъков</a>борба в защита</div>",,
Q1,03:40,home,Андреан Деков,"<div class=""div_info"">
<a class=""player_name"" href=""player-18487-andrean-dekov"">Андреан Деков</a>опит за стрелба от 2т.<br/>неуспешен</div>",,
Q1,03:56,away,Димитър Рачев,"<div class=""div_info"">
<a class=""player_name"" href=""player-13187-dimityr-rachev"">Димитър Рачев</a>грешен пас</div>",,
